method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.4,a0.05_sp0.4,80.0,0.5939,0.6488,691.49,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.5,a0.05_sp0.5,75.0,0.5791,0.6475,689.65,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.6,a0.05_sp0.6,65.0,0.5735,0.6437,688.6,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.7,a0.05_sp0.7,80.0,0.5547,0.6243,683.64,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.8,a0.05_sp0.8,100.0,0.5536,0.6192,679.36,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.9,a0.05_sp0.9,1650.0,0.5467,0.6181,676.64,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,1.0,a0.05_sp1.0,100.0,0.5265,0.6043,674.02,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-1.0,a0.10_sn1.0,60.0,0.8314,0.7655,755.47,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.9,a0.10_sn0.9,50.0,0.7474,0.6572,740.37,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.8,a0.10_sn0.8,75.0,0.7594,0.7028,774.09,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.7,a0.10_sn0.7,40.0,0.7678,0.7303,785.73,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.6,a0.10_sn0.6,25.0,0.7542,0.7234,764.57,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.5,a0.10_sn0.5,40.0,0.6973,0.6939,737.0,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.4,a0.10_sn0.4,55.0,0.6535,0.6701,732.86,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.3,a0.10_sn0.3,75.0,0.6351,0.6649,728.08,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.2,a0.10_sn0.2,90.0,0.592,0.6361,715.04,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.1,a0.10_sn0.1,100.0,0.5755,0.6296,706.88,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.0,a0.10_sn0.0,90.0,0.5366,0.6059,704.09,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.1,a0.10_sp0.1,90.0,0.5143,0.5852,697.6,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.2,a0.10_sp0.2,105.0,0.4892,0.5701,692.01,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.3,a0.10_sp0.3,105.0,0.4657,0.5514,686.45,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.4,a0.10_sp0.4,115.0,0.4318,0.5141,680.95,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.5,a0.10_sp0.5,85.0,0.383,0.4774,674.8,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.6,a0.10_sp0.6,120.0,0.3497,0.4457,667.44,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.7,a0.10_sp0.7,140.0,0.3052,0.4061,658.35,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.8,a0.10_sp0.8,1115.0,0.2803,0.3894,653.08,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.9,a0.10_sp0.9,95.0,0.2643,0.3863,649.21,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,1.0,a0.10_sp1.0,95.0,0.2556,0.3808,646.08,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.10_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-1.0,a0.15_sn1.0,55.0,0.6958,0.6325,738.28,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.9,a0.15_sn0.9,45.0,0.7411,0.6635,770.07,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.8,a0.15_sn0.8,55.0,0.7193,0.6587,765.78,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.8.wav
